latitude,longitude,gold_present,dist_to_faults_m,inv_dist_faults,fault_density,dist_to_dykes_m,inv_dist_dykes,dyke_density,structural_corridor,dist_to_etendeka_dykes_m,inv_dist_etendeka_dykes,dist_to_deposits_m,inv_dist_deposits,deposit_density,elevation_m,elevation_code,Au_ppb,As_ppm,Cu_ppm,Ag_ppm,log_Au_ppb,log_As_ppm,log_Cu_ppm,log_Ag_ppm,Au_ppb_anomaly,As_ppm_anomaly,slope_deg,aspect_deg
-29.65331483,12.25866047,0,424693.3753,2.35E-06,0,489749.2098,2.04E-06,0,4.81E-12,516547.8205,1.94E-06,613594.0688,1.63E-06,0,600,12,4.466987093,1.450034521,44.98757608,1.565488687,0.6596297843,0.1903413704,1.654056888,0.221541687,-0.1441343083,-0.1093636391,7.548217956,127.8820308
-29.65331483,12.30866047,0,420237.4267,2.38E-06,0,484823.7299,2.06E-06,0,4.91E-12,513470.4625,1.95E-06,609661.5,1.64E-06,0,600,12,2.367265991,1.86553971,7.249169133,0.9570123407,0.3922159724,0.2934818224,0.8662382423,0.02408005777,-0.2098520403,-0.0943296314,4.123468243,180.8402478
-29.65331483,12.35866047,0,415807.806,2.40E-06,0,479911.8822,2.08E-06,0,5.01E-12,510434.8988,1.96E-06,605754.2512,1.65E-06,0,600,12,5.194957991,0.8446467924,10.66634881,0.7570779266,0.7238625189,-0.02473054576,1.032068446,-0.06697968969,-0.1213500459,-0.1312680677,7.426285642,83.8187516
-29.65331483,12.40866047,0,411348.6138,2.43E-06,0,475014.0895,2.11E-06,0,5.12E-12,507441.8794,1.97E-06,601872.8155,1.66E-06,0,600,12,12.46631063,0.5055476484,16.81694524,1.979817354,1.099207791,-0.2178516781,1.228321943,0.3180251976,0.1062310381,-0.1435375153,0.39808387,39.21647994
-29.65331483,12.45866047,0,406380.1886,2.46E-06,0,470130.7912,2.13E-06,0,5.23E-12,504492.1614,1.98E-06,598017.6957,1.67E-06,0,600,12,2.150814538,0.472366916,5.60466388,1.383243127,0.3523397116,-0.2423254773,0.7562300608,0.1712123446,-0.216626606,-0.1447380764,5.329879456,36.67107339
-29.65331483,12.50866047,0,401427.0024,2.49E-06,0,465262.4436,2.15E-06,0,5.35E-12,501586.509,1.99E-06,594189.4038,1.68E-06,0,600,12,2.15084985,0.9588104568,5.476928351,0.3975298762,0.352346525,0.02481822174,0.746395065,-0.3031808351,-0.2166255008,-0.1271373434,14.37259679,76.5993179
-29.65331483,12.55866047,0,396489.6265,2.52E-06,0,460409.5209,2.17E-06,0,5.48E-12,498725.6921,2.01E-06,590388.4618,1.69E-06,0,600,12,13.18675366,10.36162768,6.090909431,3.350583609,1.123418883,1.01959926,0.7917544506,0.5378925549,0.1287796909,0.2130798911,8.466024442,354.5864819
-29.65331483,12.60866047,0,391568.6587,2.55E-06,0,455572.5162,2.20E-06,0,5.61E-12,495909.899,2.02E-06,586615.4014,1.70E-06,0,600,12,5.855812333,0.877551874,4.661795369,0.9250198278,0.7749410047,-0.009860187396,0.6777707283,0.01073226638,-0.1006664187,-0.1300774803,13.869754,106.3353014
-29.65331483,12.65866047,0,386664.7257,2.59E-06,0,450751.9419,2.22E-06,0,5.74E-12,493131.7901,2.03E-06,582870.7639,1.72E-06,0,600,12,1.699825526,0.8758280805,7.45235645,0.8471628486,0.2552304069,-0.01062668874,0.8780824793,-0.02357534502,-0.2307418021,-0.1301398514,15.77600079,338.6650066
-29.65331483,12.70866047,0,381778.4839,2.62E-06,0,445948.3307,2.24E-06,0,5.87E-12,490400.7564,2.04E-06,579155.1007,1.73E-06,0,600,12,4.676547124,4.360136975,20.77594263,0.8651539479,0.6791140667,0.6493481965,1.319646095,-0.01540340854,-0.1375754324,-0.004068918882,12.3522585,176.6350476
-29.65331483,12.75866047,0,376910.6212,2.65E-06,0,441162.2369,2.27E-06,0,6.01E-12,487717.5887,2.05E-06,575468.973,1.74E-06,0,600,12,1.710152088,1.08613121,2.281286841,0.8139821635,0.2577150657,0.07413273358,0.3768117121,-0.03906227952,-0.2304185981,-0.1225305629,18.66978482,181.4682286
-29.65331483,12.80866047,0,372061.8591,2.69E-06,0,436394.2367,2.29E-06,0,6.16E-12,485083.0813,2.06E-06,571812.9521,1.75E-06,0,600,12,1.70620268,0.2318706066,10.07485885,0.7929964124,0.2567664824,-0.4790312109,1.007528393,-0.04915028586,-0.2305422079,-0.153439829,17.18956009,324.1126272
-29.65331483,12.85866047,0,367232.9541,2.72E-06,0,431644.9298,2.32E-06,0,6.31E-12,482498.0313,2.07E-06,568187.6191,1.76E-06,0,600,12,3.462400974,0.5238892147,34.63449799,0.5798051242,0.5517428009,-0.2048925221,1.540761027,-0.1676155661,-0.1755761609,-0.142873872,16.29790691,15.12606785
-29.65331483,12.90866047,0,362424.7001,2.76E-06,0,426914.94,2.34E-06,0,6.46E-12,479963.2378,2.08E-06,564593.5651,1.77E-06,0,600,12,0.4012060093,0.185725086,2.896624156,0.4424259748,-0.2999837306,-0.544051628,0.476632276,-0.2656595219,-0.2713864045,-0.1551094884,13.5278266,318.6218947
-29.65331483,12.95866047,0,357637.9298,2.80E-06,0,422204.9165,2.37E-06,0,6.62E-12,477479.5012,2.09E-06,561031.3913,1.78E-06,0,600,12,0.4843643663,0.7372793245,2.103281473,0.7300119109,-0.2333162746,-0.07712963296,0.3430699826,-0.08091567532,-0.2687836881,-0.1351528888,16.89475518,283.5418275
